rnd_seed,MSE_DR,,,MSE_UR,,,MSE_GCRF,,,RMSE_DR,,,RMSE_UR,,,RMSE_GCRF,,,R2_DR,,,R2_UR,,,R2_GCRF,,,alpha,beta
8434154,1.27761800848971,0.480348308629678,0.522450117667148,0.10728583182779,0.060131666403907,0.100536144292626,0.16447826662693,0.110788797433572,0.051031132426254,0.986415852032895,0.619869534242336,0.640339865920129,0.278465652236153,0.201284650545277,0.274761323610088,0.389288447339413,0.32008897771113,0.198475306941249,-10.4214245557478,-3.00425239008138,-6.31744903577251E+029,0.045260890338159,0.497331466167106,-1.19489557302824E+029,-0.455946360501607,0.085404732648841,-5.29337432276147E+028,1012.80381267518,801.848107837141
9546180,0.987319859113801,0.18447040194215,0.375290368055478,0.124796992310293,0.072469301571052,0.207800755506778,0.202221708754289,0.093166946915948,0.181182675731453,0.891207077964255,0.377954288421856,0.554206803744668,0.293667223098734,0.210134056971975,0.370133737314411,0.42644384145058,0.300583156291801,0.360786385552805,-7.42299099381951,-0.480494784737188,-1.43918994390694E+029,-0.078843394288707,0.40397376689435,-2.76242648528705E+028,-0.751026997154235,0.245386558133208,-2.06937562329481E+028,1012.76467593014,803.558361254633
7755235,1.13590104472572,0.364212255546563,0.496998372669466,0.757316878899264,0.060871995925654,0.064737543620196,0.769846409515086,0.090038895190333,0.012978247369468,0.930949269399264,0.507993381380082,0.611484273059174,0.750939313490696,0.216318189572652,0.226219629020562,0.784976765806586,0.296250115652207,0.102333363853896,-8.96837403561321,-1.95569824297854,-1.40457372546103E+029,-5.41891730409772,0.516396036056,-4.20888160714728E+028,-5.53741357850612,0.288231102472771,-9.91191109981416E+027,1012.71701386571,801.881210789085
8006156,0.864838980622488,0.371651480436832,0.60026200169815,0.356166544291226,0.021723309885518,0.0334291888142,0.282983176062553,0.065720334470604,0.005101094039439,0.786208760570639,0.526064153109001,0.664007596161788,0.512459739083101,0.128196873878598,0.158661521914283,0.49281476448292,0.252540195169008,0.066696972620477,-6.68335105784549,-2.0660193835336,0,-2.12890658177631,0.820372002047954,0,-1.49146394533815,0.461848820061508,0,1012.76876864582,805.305390052497
9342042,1.0432750504449,0.325907717328106,0.478030522294701,0.357147985021168,0.179383065357075,0.54260282040971,0.105815276632041,0.07458329954005,0.034677586652894,0.862697410044276,0.493543301159074,0.604100795174773,0.424573005218112,0.353436676207714,0.551506584480758,0.316733144182057,0.266727374678682,0.168397723726403,-8.08951624915068,-1.6370967011435,0,-2.18885824963867,-0.490816507874997,0,0.053549083800153,0.387642675288035,0,1012.70909030736,803.078455679119
2953441,1.09430619982665,0.400742173097698,0.450014179422981,0.234143453893055,0.03167542070795,0.093197476424534,0.199749047410486,0.062569842283889,0.059336107810863,0.879459540935761,0.527023492760407,0.560255540247443,0.390638360736383,0.144799466873212,0.249107066585841,0.424495954992056,0.245696923445477,0.20820012160759,-8.75765249350768,-2.31994722548883,-9.6405798726409E+028,-1.06442342753801,0.742417340459766,-3.19159198394106E+028,-0.769345683697093,0.497497452323862,-1.3744644660622E+028,1012.77184845507,802.993612200022
3888747,1.24618777382182,0.549472394902347,0.581840204902775,0.185750384011522,0.049856598101102,0.052797010676761,0.188480211259832,0.082888252007176,0.039502820153198,0.99987072364107,0.647844315906564,0.693830749056868,0.355800461882931,0.183290455864071,0.185984758350651,0.414055759801851,0.273305836871708,0.161331713134788,-9.9485843738725,-3.65233097018496,-1.98134175971361E+029,-0.621965974960739,0.590522931252896,-2.19149512659473E+027,-0.650175384621014,0.32156502194551,-3.42129958569422E+027,1012.78897875547,803.148761071265
7507853,0.976456221611468,0.532592047670795,0.348111883380296,4.51263570056041,1.2795572823529,1.452927368125,0.165661337260807,0.096142042865614,0.106042812547003,0.885658260366224,0.656597051945306,0.512944444819927,1.25856607410576,0.603208983220932,0.673410700140442,0.387900303934785,0.291548591840691,0.261558898573561,-7.77854082844389,-3.40854190985438,0.02,-37.9348372022956,-9.1428122750792,-1.21591070127291E+029,-0.44689193512395,0.245208240334845,-1.22152330027569E+029,1012.61428628862,801.96125112474
3049241,0.807110762994842,0.246608462947067,0.502212928353433,0.426793388778483,0.125493158234051,0.063962392262606,0.135119150496137,0.12586794430648,0.030070368999047,0.752053789082338,0.408817809110762,0.578240886836749,0.515239140197352,0.266810984920228,0.230341740032543,0.350520601132627,0.343592085811015,0.158478781836001,-6.11050011825141,-0.954959443672757,0,-2.76891783545245,0.002779343783812,-1.84914850540585E+028,-0.181292821614055,0.02551417847388,-1.75488007506283E+027,1012.8054542467,800.36340854317
3955925,1.0909031357522,0.449351383134996,0.821364680439613,0.741242219759937,0.099821758765709,0.154412157371179,0.228832651882839,0.055888362876328,0.096810837112827,0.913820207938939,0.598468352334,0.803008121232313,0.639906713867791,0.22549641017311,0.338586376097085,0.430358826472384,0.235156803199422,0.276441475683767,-8.63512323568181,-2.73433205143104,0,-5.45579206672253,0.169132343769383,0,-1.0069529366075,0.537683747311483,0,1012.58524006605,803.927239075303
