rnd_seed,MSE_DR,,,MSE_UR,,,MSE_GCRF,,,RMSE_DR,,,RMSE_UR,,,RMSE_GCRF,,,R2_DR,,,R2_UR,,,R2_GCRF,,,alpha,beta
8434154,1.34317286918619,0.506086070506242,0.522450117667148,0.108051655677044,0.051124550363527,0.099205587762026,0.121551439317818,0.056089541862274,0.102103398267548,1.01205517854272,0.63652349327438,0.640339865920129,0.282062854846602,0.200756431024268,0.288011744329577,0.321237598148507,0.228360880266205,0.304386716489706,-30.4107813844081,-8.75798316268288,-7.35920188267446,-1.51447832801636,0.008005571831691,-0.587289404192422,-1.82494038560604,-0.081044828046349,-0.633654372280776,900.369627140463,604.439499735832
9546180,1.03176589595781,0.193160496460972,0.375290368055478,0.174525762090696,0.025413794948371,0.140940771108833,0.072324394487002,0.039804873804271,0.116580745790516,0.910933871827101,0.386670620937201,0.554206803744668,0.340458419194789,0.139257059887592,0.323276869864928,0.2510804473459,0.196585414534279,0.311132572861836,-21.5606719581779,-2.83376371716092,-5.00464588888774,-2.67978244016809,0.498126181507818,-1.25505233774138,-0.541500970540353,0.219818229409909,-0.865291932648295,900.34675655514,607.441573359072
7755235,1.18727655803393,0.381130827722137,0.496998372669466,0.295112365162497,0.024306885649901,0.089858362942326,0.346583515342083,0.043639284789029,0.110087629150629,0.951591643086627,0.519531420314315,0.611484273059174,0.449756013185521,0.13825162690083,0.278154114783258,0.515498351880111,0.202246462079999,0.317320520740486,-27.8791244305307,-7.05557233557349,-6.95197396271155,-6.26014734976047,0.488255483874291,-0.437733807077233,-7.54835694067432,0.083682076337779,-0.761402066410091,900.257878564298,612.497051641345
8006156,0.90474689541509,0.389139936648247,0.60026200169815,0.172387811162353,0.03696733051102,0.033292124370666,0.05160262146974,0.027295754181184,0.04084721272839,0.804598410847169,0.538615390968251,0.664007596161788,0.343269986174049,0.163621574348191,0.164666851794793,0.215266882367584,0.158615136681692,0.197273135433094,-21.0680524651934,-7.16859857284921,-8.60419202717062,-3.12442752778092,0.234407530980028,0.467326010069337,-0.247699509661637,0.436488770811109,0.346444596345744,900.298049226403,616.611336864531
9342042,1.08977651290857,0.340778208748665,0.478030522294701,0.046749748742467,0.032547696331742,0.180565165591715,0.047589924028178,0.039613135661728,0.212001781458905,0.882064215165939,0.504920614780371,0.604100795174773,0.179289657463947,0.168293356020183,0.368540280840376,0.213525221223199,0.195146876895998,0.421449878600221,-25.0580766002126,-6.1518897506347,-6.64848835671534,-0.137985534202058,0.314550031818682,-1.88904264946749,-0.167354849711125,0.1714641803374,-2.39202850334253,900.258891731501,613.960432305932
2953441,1.13336144205557,0.417290196460534,0.450014179422981,0.08635478293661,0.011281224902124,0.056604223373005,0.079906364947415,0.027419858869105,0.08879895054327,0.893847780293921,0.537249846425788,0.560255540247443,0.247123999065645,0.09743323680771,0.221615510693635,0.264299496137091,0.162418778857619,0.286780159746536,-20.5720887025231,-6.56643021981687,-6.20022687076779,-0.449741622422156,0.81122234599981,0.094332426031902,-0.370975916820119,0.540277837897515,-0.420783208692339,900.31162250042,601.656736075878
3888747,1.31266983240223,0.582950256093019,0.581840204902776,0.14653344067501,0.008868876001041,0.048310928338203,0.110853521487006,0.021812008640596,0.07427928484922,1.02610544297606,0.667231482098069,0.693830749056869,0.341528741210164,0.083878661816835,0.186178598273028,0.314089771176281,0.14502464294539,0.25686991200264,-31.7318260250145,-9.62237343729421,-8.30944327844455,-2.72539529633131,0.837431278735285,0.227025146588732,-1.8223204041892,0.602873220758561,-0.18846855758754,900.418311804533,604.023180268705
7507853,1.02857536858863,0.561763998650789,0.348111883380296,0.259617802258287,0.038236678039846,0.057930592764795,0.141462007085716,0.051972211479839,0.047128643452309,0.908947894184767,0.674212264091735,0.512944444819927,0.429974764064405,0.167357976843045,0.208816324577681,0.345599618011228,0.219287665082055,0.207198602197495,-27.7460240659312,-9.77966247507994,-4.5697901340849,-6.05210321800512,0.274534808309013,0.073110515763247,-2.86316182050143,0.030202821581583,0.245941704763043,900.18749152869,603.784063108265
3049241,0.850542614058656,0.260102040101191,0.502212928353433,0.121528330620566,0.037331636774321,0.049537983318788,0.082528109682491,0.044364944102713,0.06182681655965,0.772178544316964,0.419951595519046,0.578240886836749,0.287442986324119,0.161471212086162,0.206696362607056,0.265182498011902,0.198169710793177,0.242148885161233,-15.0981499671405,-3.79927571300545,-7.03540685365505,-1.3123679161713,0.303253175969997,0.207392266899378,-0.567545284519288,0.180211358327267,0.010770935045588,900.434115976095,598.276685588062
3955925,1.14658936166813,0.473207649926316,0.821364680439613,0.659127813849577,0.062408495557098,0.095117290188805,0.102007908782153,0.021084417989104,0.034085961995196,0.937833496007463,0.614792512875469,0.803008121232313,0.547353477750291,0.204175441972832,0.234613899357733,0.293560021868988,0.14320857384757,0.18314023353924,-23.746860017897,-9.10846157130194,-12.141834887034,-13.0943971131215,-0.334985268887872,-0.521876643020902,-1.21089267816201,0.551755618527759,0.454624608076855,900.198964335024,612.970093533397
