rnd_seed,MSE_DR,,,MSE_UR,,,MSE_GCRF,,,RMSE_DR,,,RMSE_UR,,,RMSE_GCRF,,,R2_DR,,,R2_UR,,,R2_GCRF,,,alpha,beta
8434154,0.723681711755708,0.019034491821621,0.024484039895454,0.271358499790203,0.02776343951219,0.017658828468446,0.332919938270315,0.083656064626959,0.014292703473499,0.759468373620004,0.122560520286461,0.13684794958882,0.44462501968953,0.149433348420992,0.122187635149368,0.530562224314558,0.285770189825361,0.108267216573994,-4.61308825275579,0.873558571895254,0.06,-1.10441671513437,0.829871475656529,0,-1.56065352084957,0.463245506978645,0,1012.88133712858,790.586456380785
9546180,0.456628985541447,0.02360092990179,0.009932098674052,0.130013297428097,0.109520957485339,0.031692044163474,0.265677919278021,0.150850846966727,0.036229513374841,0.616063027155817,0.127688722616024,0.075867248300527,0.320878431522825,0.289205464802749,0.1667416465255,0.489358404351014,0.369157019475706,0.177328946685176,-1.49658300430699,0.847966487327613,-2.08485541995665E+028,0.264853786368399,0.277890905636433,-6.27414871661054E+027,-0.466751242026775,-0.001860762109476,-5.56538597203658E+027,1012.76925036311,787.84069057554
7755235,0.597798232244588,0.022482023329575,0.009776689899653,3.81671183063439,1.82631135177481,0.088091686594736,0.28236922558902,0.170478271831533,0.006693262935916,0.689219521848593,0.119075553671865,0.081343617102808,1.28393177112511,0.987188131629282,0.203115464141801,0.480920328797384,0.383580015971721,0.074552053774685,-3.16091916784285,0.864023916957955,-1.40509043970859E+028,-27.4991775258857,-9.88849424258335,-7.58105030126116E+027,-1.03629992647025,-0.04528992464288,-7.41122669812533E+027,1012.65456452966,780.958614401519
8006156,0.412932528054909,0.030219193775621,0.013255191138609,0.091771388005076,0.071362036255234,0.022159407801108,0.119297931734756,0.090473746037698,0.018338267449637,0.550599111033069,0.145540932598046,0.101453281203094,0.264659297703585,0.237142739447591,0.127141608479649,0.339470495436163,0.295859473337136,0.114398338414621,-1.5576052991946,0.787303687904845,-4.36126051031219E+028,0.413766634941056,0.517188579945677,-3.49875785684986E+027,0.28776618885901,0.359413675503205,-2.82825566169343E+027,1012.83902875334,785.126688472927
9342042,0.515337987641836,0.016757118945768,0.031911360576325,0.842380518822874,0.312747036491912,0.045088337220677,0.162785068733099,0.066001243267099,0.024746741415125,0.6170590325319,0.109775385494882,0.168374513987242,0.718216960889612,0.455868645406589,0.191447557376431,0.391831830367246,0.252269006444625,0.140872195206567,-2.47732406827104,0.893583830212215,-6.31062905038658E+028,-4.36782267066621,-0.971916170930289,-1.66816783411462E+029,0.028069801984447,0.572727104065665,-1.36879296848149E+029,1012.71030333638,787.077043406665
2953441,0.590826462117598,0.020067735123699,0.041162408819957,1.7488843928497,0.619873598229423,1.0691306268697,1.27564021690914,0.442343186879614,0.601467078363275,0.660772007706313,0.120777231671871,0.151638855018075,0.962087880818595,0.578651451797732,0.835799393810531,0.883516396093907,0.534191591914933,0.654424909597086,-3.1455588180089,0.866127700884691,0.08,-11.4468421386218,-3.0273956689696,0,-8.01837256693759,-1.88630801416553,0,1012.78626023978,783.767012178898
3888747,0.670085605023151,0.034595664863335,0.02192777980863,2.48701827369418,0.106918931353536,0.213800353340581,0.370988477206031,0.089521800535491,0.109298222463458,0.754246279796125,0.161246383291717,0.126601899380984,0.876799817105382,0.227197535898926,0.342724765639661,0.485813942109448,0.292010001702257,0.282757940289232,-2.70858731354934,0.776318765537626,-9.18550885435683E+028,-14.3419883373903,0.390027749410773,-2.83196356404098E+027,-1.20773983278393,0.457711487093431,-2.37197274838884E+027,1012.62659468502,783.804927013814
7507853,0.494264517837885,0.087718162100556,0.009165594001845,0.459459069805547,0.08111556427164,0.25520352864329,0.139229444466175,0.047501030027633,0.126802402884812,0.64577254181177,0.245627624585806,0.079166802141714,0.545177787222259,0.250153877564658,0.407227422306228,0.363515108810547,0.216423982190762,0.296650766350545,-2.57102746779537,0.557605606439328,-5.47896620668901E+025,-2.26639743118605,0.51937267413916,-8.14867484199506E+028,0.040249011198928,0.710771125017339,-5.60969232239549E+028,1012.70402617753,784.631114371121
3049241,0.409985574055283,0.005074962011728,0.009115627598473,0.128638104288435,0.082998413659501,0.017580206199738,0.096465419790945,0.07782604868132,0.015565638850264,0.547116271323957,0.060680646513398,0.07999209356838,0.308174579532538,0.250065095054591,0.11776116942962,0.305307941097575,0.270743324124557,0.111941169319397,-2.25323591949495,0.968680237309166,-2.22802020880448E+027,-0.023593837726115,0.44960078752871,-8.13970189695021E+027,0.25127935611928,0.485093104893981,-7.66237383884801E+027,1012.88875562698,791.790938563645
3955925,0.325341640617453,0.030039210378675,0.038590570698177,3.42121149343628,0.282229840985944,0.556661352122731,0.306954057466043,0.073308403692129,0.110449986484633,0.493808675926074,0.143968899919676,0.180934805716601,1.14456650385914,0.371019729247994,0.555286702711337,0.52205388671787,0.268334002319508,0.304315483342695,-0.900638873983669,0.794337978929712,-5.60498005266036E+028,-20.1510401241181,-0.936283365983874,-7.97583152889661E+028,-0.752402499659056,0.47366209622109,-8.30373458392874E+028,1012.7305258736,791.696239084005
