1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   892162    0.409    0.000    1.093    0.000 core.py:101(__gt__)
   821553    0.430    0.000    0.473    0.000 {built-in method _abc._abc_instancecheck}
   821553    0.243    0.000    0.715    0.000 abc.py:137(__instancecheck__)
   793424    0.475    0.000    0.508    0.000 {built-in method builtins.max}
792944/262052    0.808    0.000    1.620    0.000 expr.py:390(is_number)
   772999    0.251    0.000    0.251    0.000 {built-in method gmpy2._mpmath_normalize}
   770208    0.303    0.000    0.303    0.000 {method 'mro' of 'type' objects}
   769127    0.094    0.000    0.094    0.000 {built-in method from_iterable}
   769126    0.558    0.000    0.558    0.000 basic.py:1772(<genexpr>)
   768554    0.657    0.000    0.658    0.000 transforms.py:82(__init__)
   712856    0.493    0.000    5.118    0.000 <__array_function__ internals>:2(dot)
   712856    0.114    0.000    0.114    0.000 multiarray.py:707(dot)
712332/31105    1.185    0.000  142.690    0.005 basic.py:1002(_subs)
705087/244792    0.763    0.000    0.870    0.000 transforms.py:137(_invalidate_internal)
   672791    0.318    0.000    0.524    0.000 {method 'setdefault' of 'dict' objects}
   662346    0.232    0.000    0.233    0.000 {method 'index' of 'list' objects}
   648808    0.373    0.000    2.265    0.000 logic.py:40(_fuzzy_group)
642733/642684    0.285    0.000    0.285    0.000 {built-in method builtins.iter}
   642108    0.077    0.000    0.077    0.000 {built-in method builtins.id}
   639635    0.264    0.000    0.264    0.000 libmpf.py:537(mpf_eq)
   631424    0.874    0.000    1.564    0.000 operations.py:56(_from_args)
   618889    0.151    0.000    0.151    0.000 numbers.py:1085(_hashable_content)
   608728    0.088    0.000    0.088    0.000 {built-in method builtins.abs}
582319/410460    0.422    0.000    9.269    0.000 decorators.py:84(__sympifyit_wrapper)
   576061    0.456    0.000    0.993    0.000 transforms.py:1683(__init__)
   575735    0.203    0.000    0.203    0.000 {method 'update' of 'set' objects}
561041/555512   13.596    0.000  603.688    0.001 {built-in method builtins.sorted}
   531071    0.234    0.000    3.115    0.000 numbers.py:1272(__ne__)
   503896    0.919    0.000    1.518    0.000 symbol.py:259(assumptions0)
   503892    0.528    0.000    2.273    0.000 symbol.py:250(_hashable_content)
   501732    0.110    0.000    0.110    0.000 {built-in method gmpy2.mpz}
488625/488493    0.631    0.000    3.241    0.000 numbers.py:2038(__mul__)
487733/31105    5.858    0.000  141.956    0.005 basic.py:1074(fallback)
   483505    0.129    0.000    0.129    0.000 transforms.py:946(get_points)
   480168    0.128    0.000    0.128    0.000 transforms.py:1857(get_matrix)
   477423    0.088    0.000    0.088    0.000 {method 'startswith' of 'str' objects}
   457617    0.113    0.000    0.113    0.000 basic.py:699(func)
   447748    0.372    0.000    1.199    0.000 transforms.py:1819(__init__)
   447314    0.187    0.000    0.982    0.000 <__array_function__ internals>:2(copy)
   447314    0.043    0.000    0.043    0.000 function_base.py:741(_copy_dispatcher)
   447314    0.093    0.000    0.447    0.000 function_base.py:745(copy)
   440449    0.317    0.000    0.406    0.000 power.py:769(as_base_exp)
   429087    0.549    0.000    1.113    0.000 numbers.py:79(mpf_norm)
   427327    0.535    0.000    2.185    0.000 numbers.py:1064(_new)
   425014    0.200    0.000    0.200    0.000 {method 'ravel' of 'numpy.ndarray' objects}
