1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.000    0.000    0.001    0.000 deprecation.py:237(finalize)
    91/39    0.000    0.000    0.002    0.000 facts.py:329(_process_rule)
       90    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       90    0.000    0.000    0.000    0.000 rings.py:1881(itercoeffs)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       89    0.000    0.000    0.000    0.000 docstring.py:101(do_copy)
       89    0.000    0.000    0.000    0.000 docstring.py:99(copy)
       88    0.000    0.000    0.000    0.000 text.py:226(_get_multialignment)
       88    0.000    0.000    0.000    0.000 text.py:253(get_rotation_mode)
       88    0.000    0.000    0.001    0.000 __init__.py:646(__setitem__)
       88    0.000    0.000    0.000    0.000 permutations.py:917(<listcomp>)
     88/8    0.000    0.000    0.458    0.057 factortools.py:1038(dmp_zz_factor)
       88    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
       88    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
    87/38    0.000    0.000    0.013    0.000 expr.py:73(sort_key)
       87    0.000    0.000    0.000    0.000 evalf.py:1267(<lambda>)
       87    0.000    0.000    0.000    0.000 six.py:105(__init__)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
       87    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       87    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       86    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       86    0.000    0.000    0.000    0.000 pyparsing.py:4059(<genexpr>)
       86    0.000    0.000    0.000    0.000 rcsetup.py:215(validate_int)
       86    0.000    0.000    0.000    0.000 dimensions.py:379(<dictcomp>)
       86    0.000    0.000    0.003    0.000 dimensions.py:378(parse_dict)
       86    0.002    0.000    0.028    0.000 polyutils.py:371(expr_from_dict)
       85    0.000    0.000    0.000    0.000 decorators.py:61(deco)
       85    0.000    0.000    0.000    0.000 decorators.py:45(_sympifyit)
       85    0.000    0.000    0.000    0.000 decorators.py:67(__sympifyit)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       85    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       84    0.000    0.000    0.000    0.000 functions.py:81(defun_wrapped)
       84    0.000    0.000    0.000    0.000 _make.py:356(<genexpr>)
       84    0.000    0.000    0.000    0.000 _make.py:471(<genexpr>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3839(__init__)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2806(__init__)
       83    0.000    0.000    0.000    0.000 _make.py:402(<genexpr>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
       83    0.000    0.000    0.004    0.000 docstring.py:113(dedent_interpd)
       82    0.000    0.000    0.000    0.000 polyclasses.py:150(__init__)
       82    0.000    0.000    0.001    0.000 polyoptions.py:725(build_options)
       82    0.000    0.000    0.000    0.000 polytools.py:127(new)
       82    0.000    0.000    0.001    0.000 numbers.py:179(<listcomp>)
       82    0.000    0.000    0.001    0.000 numbers.py:159(igcd)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
       82    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
       82    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
       82    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       82    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
       81    0.000    0.000    0.000    0.000 _make.py:1352(<genexpr>)
       81    0.000    0.000    0.000    0.000 _make.py:1474(<genexpr>)
       81    0.000    0.000    0.001    0.000 typing.py:603(__init__)
       79    0.000    0.000    0.000    0.000 _make.py:1768(__init__)
    78/42    0.000    0.000    0.004    0.000 expr.py:96(<listcomp>)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
       77    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
       77    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       76    0.000    0.000    0.000    0.000 rings.py:193(<genexpr>)
       76    0.000    0.000    0.018    0.000 exprtools.py:969(<listcomp>)
    76/40    0.000    0.000    0.119    0.003 exprtools.py:1177(<listcomp>)
       76    0.000    0.000    0.000    0.000 numbers.py:721(as_coeff_mul)
       75    0.000    0.000    0.001    0.000 cm.py:65(_reverse_cmap_spec)
       75    0.000    0.000    0.000    0.000 _make.py:1279(<genexpr>)
       75    0.000    0.000    0.000    0.000 trivial.py:39(<lambda>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       74    0.000    0.000    0.000    0.000 domain.py:70(__hash__)
       74    0.000    0.000    0.000    0.000 numbers.py:2049(__rmul__)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       74    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       74    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       73    0.000    0.000    0.000    0.000 _make.py:1454(_is_slot_attr)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       72    0.001    0.000    1.367    0.019 __init__.py:1(<module>)
       72    0.000    0.000    0.000    0.000 text.py:345(<listcomp>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1763(get)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1766(set)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1821(_parseCache)
       72    0.001    0.000    0.007    0.000 __init__.py:1525(_preprocess_data)
       72    0.000    0.000    0.000    0.000 __init__.py:1946(make_alias)
       72    0.000    0.000    0.000    0.000 rings.py:1431(<genexpr>)
       72    0.000    0.000    0.000    0.000 densebasic.py:1685(<genexpr>)
    72/26    0.000    0.000    0.001    0.000 densearith.py:580(<listcomp>)
       72    0.000    0.000    0.000    0.000 numbers.py:610(_eval_is_finite)
       71    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
       71    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
       71    0.000    0.000    0.000    0.000 pyparsing.py:2419(leaveWhitespace)
       71    0.000    0.000    0.000    0.000 evalf.py:1269(<lambda>)
       71    0.000    0.000    0.000    0.000 basic.py:261(class_key)
       70    0.000    0.000    0.000    0.000 solvers.py:991(<lambda>)
     70/2    0.000    0.000    0.000    0.000 solvers.py:1162(<listcomp>)
     70/2    0.000    0.000    0.000    0.000 solvers.py:1159(_has_piecewise)
       70    0.000    0.000    0.000    0.000 rings.py:1987(quo_ground)
       69    0.000    0.000    0.000    0.000 _make.py:699(<genexpr>)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2412(__init__)
       68    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       68    0.000    0.000    0.000    0.000 uuid.py:121(__init__)
       68    0.000    0.000    0.000    0.000 rings.py:405(index)
    68/63    0.000    0.000    0.000    0.000 typing.py:664(__hash__)
       67    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       67    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       67    0.000    0.000    0.001    0.000 pyparsing.py:3980(__init__)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4410(__init__)
       67    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       67    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       67    0.000    0.000    0.000    0.000 utils.py:53(_set_function_name)
       67    0.000    0.000    0.000    0.000 utils.py:70(__init__)
       67    0.000    0.000    0.001    0.000 utils.py:75(__call__)
       67    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
       67    0.000    0.000    0.000    0.000 os.py:751(encode)
       66    0.000    0.000    0.000    0.000 pyparsing.py:4014(<genexpr>)
       66    0.000    0.000    0.002    0.000 pyparsing.py:2116(__add__)
       66    0.000    0.000    0.000    0.000 rings.py:297(__eq__)
       66    0.001    0.000    0.001    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       65    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       65    0.000    0.000    0.000    0.000 orderings.py:199(monomial_key)
       65    0.000    0.000    0.000    0.000 facts.py:437(<genexpr>)
       64    0.000    0.000    0.000    0.000 uuid.py:264(__str__)
       64    0.000    0.000    0.000    0.000 uuid.py:757(uuid4)
       64    0.001    0.000    0.010    0.000 colors.py:729(from_list)
       64    0.000    0.000    0.000    0.000 polyutils.py:324(<genexpr>)
       64    0.000    0.000    0.000    0.000 polyoptions.py:139(preprocess_options)
       64    0.000    0.000    0.001    0.000 _make.py:1058(_generate_unique_filename)
    63/11    0.000    0.000    0.004    0.000 pyparsing.py:4017(parseImpl)
       63    0.000    0.000    0.000    0.000 rcsetup.py:447(validate_fontsize)
       63    0.000    0.000    0.004    0.000 monomials.py:343(_build)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
       62    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
    61/47    0.001    0.000    0.019    0.000 numbers.py:2133(_eval_power)
       61    0.000    0.000    0.017    0.000 basic.py:1256(_has)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
       60    0.000    0.000    0.000    0.000 permutations.py:452(<genexpr>)
       60    0.000    0.000    0.115    0.002 euclidtools.py:1806(dmp_primitive)
       60    0.000    0.000    0.000    0.000 orderings.py:29(__hash__)
       60    0.000    0.000    0.000    0.000 containers.py:224(__getitem__)
       60    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       59    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       59    0.000    0.000    0.000    0.000 ast.py:254(<listcomp>)
       59    0.000    0.000    0.000    0.000 ast.py:253(_hashable_content)
       59    0.000    0.000    0.000    0.000 _make.py:1823(<dictcomp>)
       59    0.000    0.000    0.000    0.000 _make.py:1814(from_counting_attr)
       59    0.000    0.000    0.000    0.000 _make.py:1975(__init__)
       59    0.000    0.000    0.000    0.000 _make.py:73(attrib)
       59    0.000    0.000    0.000    0.000 _make.py:360(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       59    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
       59    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       59    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       58    0.000    0.000    0.000    0.000 pyparsing.py:634(__bool__)
       58    0.000    0.000    0.001    0.000 complexes.py:52(eval)
       58    0.000    0.000    0.000    0.000 complexes.py:152(eval)
       58    0.000    0.000    0.000    0.000 polyoptions.py:264(default)
       58    0.000    0.000    0.000    0.000 symbol.py:154(_diff_wrt)
       58    0.000    0.000    0.000    0.000 function.py:1300(<listcomp>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       58    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(zeros_like)
       58    0.000    0.000    0.000    0.000 numeric.py:93(_zeros_like_dispatcher)
       58    0.000    0.000    0.001    0.000 numeric.py:97(zeros_like)
       57    0.000    0.000    0.000    0.000 primetest.py:468(isprime)
       56    0.000    0.000    0.000    0.000 patches.py:1961(_register_style)
       56    0.000    0.000    0.003    0.000 pyparsing.py:3870(<listcomp>)
     56/9    0.000    0.000    0.004    0.000 pyparsing.py:3866(leaveWhitespace)
       56    0.000    0.000    0.000    0.000 rcsetup.py:71(<listcomp>)
       56    0.000    0.000    0.000    0.000 rings.py:583(copy)
       56    0.000    0.000    0.000    0.000 rings.py:1687(_get_coeff)
       56    0.000    0.000    0.000    0.000 rings.py:1731(LC)
       56    0.000    0.000    0.000    0.000 densearith.py:538(<listcomp>)
       56    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       55    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       55    0.000    0.000    0.000    0.000 rcsetup.py:704(__call__)
       55    0.000    0.000    0.000    0.000 rcsetup.py:982(_validate_linestyle)
       55    0.000    0.000    0.000    0.000 distance.py:1704(<genexpr>)
       55    0.000    0.000    0.000    0.000 expr.py:774(_eval_is_positive)
       54    0.000    0.000    0.000    0.000 pyparsing.py:3339(__str__)
       54    0.000    0.000    0.001    0.000 __init__.py:890(_open_file_or_url)
       54    0.000    0.000    0.000    0.000 rings.py:1940(content)
       54    0.000    0.000    0.000    0.000 logic.py:240(fromstring)
       54    0.000    0.000    0.000    0.000 _make.py:1090(<genexpr>)
       54    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       53    0.000    0.000    0.000    0.000 galoistools.py:1145(gf_monic)
       53    0.000    0.000    0.000    0.000 numbers.py:3170(_as_mpf_val)
       53    0.000    0.000    0.001    0.000 numbers.py:579(_eval_evalf)
       53    0.000    0.000    0.002    0.000 numbers.py:1309(__lt__)
       53    0.000    0.000    0.000    0.000 decorators.py:121(priority_decorator)
       53    0.000    0.000    0.000    0.000 decorators.py:98(call_highest_priority)
       53    0.000    0.000    0.000    0.000 evalf.py:1268(<lambda>)
       53    0.000    0.000    0.000    0.000 basic.py:686(<listcomp>)
       53    0.000    0.000    0.001    0.000 basic.py:652(is_comparable)
       52    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
       52    0.000    0.000    0.002    0.000 transforms.py:1802(inverted)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:511(auto_symbol)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:561(lambda_notation)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:601(factorial_notation)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:625(convert_xor)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:639(repeated_decimals)
       52    0.000    0.000    0.000    0.000 sympy_parser.py:729(auto_number)
       52    0.001    0.000    0.008    0.000 sympy_parser.py:854(stringify_expr)
       52    0.000    0.000    0.002    0.000 sympy_parser.py:872(eval_expr)
       52    0.000    0.000    0.016    0.000 sympy_parser.py:884(parse_expr)
       52    0.000    0.000    0.018    0.000 basic.py:1207(has)
       52    0.000    0.000    0.004    0.000 compatibility.py:229(__new__)
       52    0.000    0.000    0.000    0.000 compatibility.py:228(metaclass)
       52    0.000    0.000    0.001    0.000 compatibility.py:189(with_metaclass)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
       52    0.000    0.000    0.005    0.000 tokenize.py:147(_compile)
       52    0.000    0.000    0.000    0.000 tokenize.py:219(__init__)
       52    0.000    0.000    0.000    0.000 tokenize.py:238(untokenize)
       52    0.000    0.000    0.000    0.000 tokenize.py:275(compat)
       52    0.000    0.000    0.001    0.000 tokenize.py:312(untokenize)
       52    0.000    0.000    0.000    0.000 tokenize.py:672(generate_tokens)
       51    0.000    0.000    0.005    0.000 mul.py:594(<genexpr>)
       51    0.000    0.000    0.000    0.000 iterables.py:899(<lambda>)
       50    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       50    0.000    0.000    0.000    0.000 basic.py:1812(class_key)
       50    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       50    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
       50    0.001    0.000    0.004    0.000 traceback.py:318(extract)
       50    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
       50    0.000    0.000    0.005    0.000 traceback.py:200(extract_stack)
       50    0.000    0.000    0.000    0.000 enum.py:623(name)
       49    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       49    0.000    0.000    0.000    0.000 pyparsing.py:585(__getitem__)
       49    0.000    0.000    0.048    0.001 polyhedron.py:383(<listcomp>)
       49    0.000    0.000    0.009    0.000 polyhedron.py:385(<listcomp>)
       49    0.000    0.000    0.113    0.002 polyhedron.py:32(__new__)
       49    0.002    0.000    0.005    0.000 perm_groups.py:141(<listcomp>)
       49    0.000    0.000    0.003    0.000 perm_groups.py:143(<listcomp>)
       49    0.001    0.000    0.013    0.000 perm_groups.py:121(__new__)
       49    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
       49    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
       48    0.001    0.000    0.001    0.000 my_exceptions.py:72(_mk_exception)
       48    0.000    0.000    0.000    0.000 pyparsing.py:4002(<genexpr>)
       48    0.000    0.000    0.013    0.000 euclidtools.py:1825(<listcomp>)
       48    0.018    0.000    0.061    0.001 function.py:2862(count_ops)
    48/46    0.000    0.000    0.179    0.004 singleton.py:102(__getattr__)
       48    0.000    0.000    0.001    0.000 pyparsing.py:3540(__init__)
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
       48    0.000    0.000    0.000    0.000 six.py:184(find_module)
       48    0.000    0.000    1.493    0.031 <__array_function__ internals>:2(det)
       48    1.491    0.031    1.493    0.031 linalg.py:2072(det)
       48    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.generic' objects}
       48    0.000    0.000    0.000    0.000 {built-in method math.log}
       47    0.000    0.000    0.000    0.000 pyparsing.py:2874(parseImpl)
       47    0.000    0.000    0.000    0.000 numbers.py:1553(_eval_is_zero)
       47    0.000    0.000    0.181    0.004 expr.py:128(__add__)
       47    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       46    0.000    0.000    0.000    0.000 rings.py:322(domain_new)
       46    0.000    0.000    0.000    0.000 ast.py:879(_construct_text)
       46    0.000    0.000    0.000    0.000 pyparsing.py:1366(postParse)
       46    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
       46    0.000    0.000    0.000    0.000 docstring.py:43(update)
       46    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(inv)
       46    0.001    0.000    0.001    0.000 linalg.py:486(inv)
       46    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1438(setName)
       45    0.000    0.000    0.000    0.000 rings.py:308(monomial_basis)
       45    0.000    0.000    0.000    0.000 galoistools.py:114(gf_int)
       45    0.000    0.000    0.001    0.000 generate.py:508(nextprime)
       45    0.000    0.000    0.000    0.000 mul.py:742(as_coeff_mul)
       45    0.000    0.000    0.000    0.000 decorator.py:231(decorator)
       45    0.000    0.000    0.000    0.000 basic.py:294(<listcomp>)
       45    0.000    0.000    0.000    0.000 basic.py:266(sort_key)
       45    0.000    0.000    0.000    0.000 basic.py:757(_sorted_args)
       45    0.000    0.000    0.000    0.000 ctx_mp_python.py:991(_wrap_libmp_function)
       45    0.000    0.000    0.000    0.000 ctx_iv.py:381(<lambda>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
       45    0.000    0.000    0.000    0.000 deprecation.py:36(__call__)
       45    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4207(<genexpr>)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4251(<genexpr>)
       44    0.000    0.000    0.000    0.000 polyhedron.py:462(size)
       44    0.000    0.000    0.000    0.000 polyhedron.py:573(<listcomp>)
       44    0.000    0.000    0.000    0.000 polyhedron.py:508(rotate)
       44    0.000    0.000    0.000    0.000 polyhedron.py:688(<listcomp>)
       44    0.001    0.000    0.049    0.001 polyhedron.py:690(<listcomp>)
       44    0.000    0.000    0.000    0.000 polyhedron.py:695(<listcomp>)
       44    0.000    0.000    0.004    0.000 rings.py:620(as_expr)
       44    0.000    0.000    0.000    0.000 rings.py:630(<dictcomp>)
       44    0.000    0.000    0.000    0.000 rings.py:628(as_expr_dict)
       44    0.000    0.000    0.000    0.000 iterables.py:85(unflatten)
       44    0.000    0.000    0.100    0.002 basic.py:104(copy)
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
       43    0.000    0.000    0.004    0.000 manualintegrate.py:38(Rule)
       43    0.000    0.000    0.000    0.000 manualintegrate.py:97(_evaluates)
       43    0.000    0.000    0.000    0.000 manualintegrate.py:96(evaluates)
       43    0.000    0.000    0.000    0.000 numbers.py:613(class_key)
       43    0.000    0.000    0.000    0.000 numbers.py:617(sort_key)
       43    0.000    0.000    0.000    0.000 six.py:80(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       42    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       42    0.000    0.000    0.000    0.000 pyparsing.py:688(haskeys)
       42    0.000    0.000    0.000    0.000 pyparsing.py:938(copy)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1305(wrapper)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1547(<genexpr>)
       42    0.000    0.000    0.000    0.000 polyclasses.py:200(per)
       42    0.000    0.000    0.008    0.000 polyclasses.py:240(to_sympy_dict)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
       42    0.000    0.000    0.000    0.000 __init__.py:1890(has_metadata)
       42    0.000    0.000    0.000    0.000 deprecation.py:105(_update_doc)
       42    0.000    0.000    0.000    0.000 typing.py:479(__hash__)
       42    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
       41    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       41    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       41    0.000    0.000    0.002    0.000 __init__.py:2030(_warn_external)
       41    0.000    0.000    0.000    0.000 prefixes.py:57(scale_factor)
       41    0.000    0.000    0.000    0.000 galoistools.py:440(<listcomp>)
       41    0.000    0.000    0.000    0.000 galoistools.py:423(gf_mul_ground)
       41    0.000    0.000    0.000    0.000 facts.py:449(<genexpr>)
       41    0.000    0.000    0.000    0.000 scorer.py:47(__init__)
       41    0.000    0.000    0.000    0.000 scorer.py:400(make_scorer)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
       40    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       40    0.000    0.000    0.000    0.000 polyoptions.py:412(preprocess)
       40    0.000    0.000    0.001    0.000 symbol.py:264(sort_key)
       40    0.000    0.000    0.000    0.000 facts.py:58(_base_fact)
       40    0.000    0.000    0.000    0.000 trivial.py:38(pep8)
       40    0.000    0.000    0.003    0.000 doccer.py:224(decorate)
       40    0.000    0.000    0.000    0.000 deprecation.py:33(__init__)
       40    0.000    0.000    0.000    0.000 _pslinux.py:579(<listcomp>)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       40    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
       39    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       39    0.000    0.000    0.000    0.000 multinomial.py:132(multinomial_coefficients_iterator)
       39    0.000    0.000    0.000    0.000 power.py:30(integer_nthroot)
       39    0.000    0.000    0.000    0.000 <attrs generated eq attr._make._CountingAttr>:1(__eq__)
       39    0.000    0.000    0.000    0.000 _make.py:1156(__ne__)
       39    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       38    0.000    0.000    0.000    0.000 colors.py:825(__init__)
       38    0.000    0.000    0.005    0.000 dimensions.py:181(_eval_power)
       38    0.000    0.000    0.000    0.000 rings.py:187(_parse_symbols)
       38    0.001    0.000    0.006    0.000 rings.py:205(__new__)
       38    0.000    0.000    0.007    0.000 polyclasses.py:274(from_dict)
       38    0.000    0.000    0.000    0.000 polyoptions.py:359(preprocess)
       38    0.000    0.000    0.015    0.000 polytools.py:167(_from_dict)
       38    0.000    0.000    0.019    0.001 polytools.py:978(as_expr)
       38    0.000    0.000    0.000    0.000 _make.py:1539(fmt_setter)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4230(__init__)
       38    0.000    0.000    0.000    0.000 typing.py:1193(_alias)
       38    0.000    0.000    0.000    0.000 {built-in method math.gcd}
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       37    0.000    0.000    0.000    0.000 pyparsing.py:3308(parseImpl)
       37    0.000    0.000    0.000    0.000 mul.py:652(class_key)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
       36    0.000    0.000    0.000    0.000 Drone.py:6(__init__)
       36    0.000    0.000    0.000    0.000 Drone.py:46(init_PIDs)
       36    0.000    0.000    0.001    0.000 GCRFModel.py:28(__init__)
       36    0.000    0.000    6.964    0.193 GCRFModel.py:36(fit)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2848(__init__)
       36    0.000    0.000    0.004    0.000 __init__.py:1496(_add_data_doc)
       36    0.000    0.000    0.000    0.000 permutations.py:310(__missing__)
       36    0.000    0.000    0.000    0.000 rings.py:302(__ne__)
       36    0.000    0.000    0.000    0.000 rings.py:1365(_term_div)
       36    0.000    0.000    0.000    0.000 rings.py:1442(<listcomp>)
       36    0.000    0.000    0.000    0.000 rings.py:1446(<listcomp>)
       36    0.000    0.000    0.001    0.000 rings.py:1398(div)
       36    0.000    0.000    0.000    0.000 rings.py:2055(<listcomp>)
       36    0.000    0.000    0.000    0.000 rings.py:2050(_norm)
       36    0.000    0.000    0.000    0.000 rings.py:2057(max_norm)
       36    0.000    0.000    0.006    0.000 rings.py:2291(evaluate)
       36    0.000    0.000    0.000    0.000 galoistools.py:530(gf_mul)
       36    0.000    0.000    0.000    0.000 polyoptions.py:216(__setattr__)
       36    0.000    0.000    0.000    0.000 assume.py:153(__new__)
       36    0.000    0.000    0.000    0.000 assume.py:168(add_handler)
       36    0.000    0.000    0.000    0.000 ask.py:1323(register_handler)
       36    0.000    0.000    0.000    0.000 decorator.py:233(wrapper)
       36    0.000    0.000    0.000    0.000 sympify.py:343(<listcomp>)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
       36    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6710(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       35    0.000    0.000    0.001    0.000 generate.py:627(primerange)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
    34/17    0.000    0.000    0.001    0.000 transforms.py:2403(inverted)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4054(__str__)
       34    0.000    0.000    0.012    0.000 dispatcher.py:133(add)
       34    0.000    0.000    0.012    0.000 dispatcher.py:177(reorder)
       34    0.001    0.000    0.005    0.000 conflict.py:27(<listcomp>)
       34    0.000    0.000    0.006    0.000 conflict.py:24(ambiguities)
       34    0.001    0.000    0.005    0.000 conflict.py:62(<listcomp>)
       34    0.000    0.000    0.006    0.000 conflict.py:56(ordering)
       34    0.000    0.000    0.001    0.000 utils.py:22(_toposort)
       34    0.000    0.000    0.000    0.000 utils.py:58(reverse_dict)
       34    0.000    0.000    0.000    0.000 utils.py:80(groupby)
       34    0.000    0.000    0.013    0.000 core.py:57(_)
       34    0.000    0.000    0.000    0.000 core.py:8(dispatch)
       34    0.000    0.000    0.001    0.000 core.py:74(ismethod)
       34    0.000    0.000    0.000    0.000 six.py:93(__init__)
       33    0.000    0.000    0.000    0.000 cm.py:40(_reverser)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3897(streamline)
       33    0.000    0.000    0.000    0.000 pyparsing.py:4214(<genexpr>)
       33    0.000    0.000    0.000    0.000 symbol.py:631(<genexpr>)
       33    0.000    0.000    0.039    0.001 mul.py:623(_eval_power)
